"genus","family"
"×Achnella","Poaceae"
"×Agroelymus","Poaceae"
"×Agropogon","Poaceae"
"×Amelasorbus","Rosaceae"
"×Ammocalamagrostis","Poaceae"
"×Arctodupontia","Poaceae"
"×Argyrautia","Asteraceae"
"×Calammophila","Poaceae"
"×Citrofortunella","Rutaceae"
"×Citroncirus","Rutaceae"
"×Dryostichum","Dryopteridaceae"
"×Dupoa","Poaceae"
"×Elyhordeum","Poaceae"
"×Elyleymus","Poaceae"
"×Festulolium","Poaceae"
"×Hesperotropsis","Cupressaceae"
"×Leydeum","Poaceae"
"×Lindsaeosoria","Dennstaedtiaceae"
"×Mahoberberis","Berberidaceae"
"×Pseudelymus","Poaceae"
"×Pucciphippsia","Poaceae"
"×Schedolium","Poaceae"
"×Solidaster","Asteraceae"
"×Sorbaronia","Rosaceae"
"×Triticosecale","Poaceae"
"Abelia","Caprifoliaceae"
"Abelmoschus","Malvaceae"
"Abies","Pinaceae"
"Abietinella","Thuidiaceae"
"Abildgaardia","Cyperaceae"
"Abronia","Nyctaginaceae"
"Abrothallus","Uncertain Ascomycota Family"
"Abrus","Fabaceae"
"Absconditella","Stictidaceae"
"Abutilon","Malvaceae"
"Acacia","Fabaceae"
"Acaena","Rosaceae"
"Acalypha","Euphorbiaceae"
"Acamptopappus","Asteraceae"
"Acanthocereus","Cactaceae"
"Acanthomintha","Lamiaceae"
"Acanthospermum","Asteraceae"
"Acanthus","Acanthaceae"
"Acarospora","Acarosporaceae"
"Acaulon","Pottiaceae"
"Acer","Aceraceae"
"Achillea","Asteraceae"
"Achlys","Berberidaceae"
"Achnatherum","Poaceae"
"Achyrachaena","Asteraceae"
"Achyranthes","Amaranthaceae"
"Achyronychia","Caryophyllaceae"
"Acicarpha","Calyceraceae"
"Acidanthera","Iridaceae"
"Acinos","Lamiaceae"
"Aciphylla","Apiaceae"
"Acisanthera","Melastomataceae"
"Acleisanthes","Nyctaginaceae"
"Acmella","Asteraceae"
"Acnistus","Solanaceae"
"Acoelorraphe","Arecaceae"
"Aconitum","Ranunculaceae"
"Acorus","Acoraceae"
"Acourtia","Asteraceae"
"Acrachne","Poaceae"
"Acrobolbus","Acrobolbaceae"
"Acroceras","Poaceae"
"Acrocomia","Arecaceae"
"Acrocordia","Monoblastiaceae"
"Acrolejeunea","Lejeuneaceae"
"Acronychia","Rutaceae"
"Acroporium","Sematophyllaceae"
"Acroptilon","Asteraceae"
"Acroscyphus","Caliciaceae"
"Acrostichum","Pteridaceae"
"Actaea","Ranunculaceae"
"Actinidia","Actinidiaceae"
"Actinostachys","Schizaeaceae"
"Adansonia","Bombacaceae"
"Adelia","Euphorbiaceae"
"Adelococcus","Verrucariaceae"
"Adelolecia","Bacidiaceae"
"Adenanthera","Fabaceae"
